Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,219
design__inferred_latch__count,0
design__instance__count,40339
design__instance__area,1.66969E+6
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__die__bbox,0.0 0.0 1600.0 1600.0
design__core__bbox,365.28 366.66 1234.56 1232.28
design__io,21
design__die__area,2.56E+6
design__core__area,752466
design__instance__count__stdcell,356
design__instance__area__stdcell,6040.14
design__instance__count__macros,1
design__instance__area__macros,226526
design__instance__count__padcells,144
design__instance__area__padcells,820800
design__instance__count__cover,24
design__instance__area__cover,117600
design__instance__utilization,0.309072
design__instance__utilization__stdcell,0.0114845
design__rows,351
design__rows:CoreSite,351
design__sites,278201
design__sites:CoreSite,278201
design__instance__count__class:macro,1
design__instance__area__class:macro,226526
design__instance__count__class:input_pad,6
design__instance__area__class:input_pad,86400
design__instance__count__class:output_pad,4
design__instance__area__class:output_pad,57600
design__instance__count__class:input_output_pad,8
design__instance__area__class:input_output_pad,115200
design__instance__count__class:power_pad,6
design__instance__area__class:power_pad,86400
design__instance__count__class:buffer,1
design__instance__area__class:buffer,7.2576
design__instance__count__class:inverter,14
design__instance__area__class:inverter,76.2048
design__instance__count__class:sequential_cell,43
design__instance__area__class:sequential_cell,2106.52
design__instance__count__class:multi_input_combinational_cell,179
design__instance__area__class:multi_input_combinational_cell,1645.66
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:IFP-0028,1
flow__warnings__count:ODB-0220,1
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:pad_spacer,120
design__instance__area__class:pad_spacer,475200
design__instance__count__class:cover,24
design__instance__area__class:cover,117600
flow__warnings__count:PAD-0033,3
flow__warnings__count:PDN-0110,1
design__power_grid_violation__count__net:VSS,1
design__power_grid_violation__count__net:VDD,1
design__power_grid_violation__count,2
timing__drv__floating__nets,3
timing__drv__floating__pins,0
design__instance__displacement__total,623.098
design__instance__displacement__mean,1.745
design__instance__displacement__max,50.718
route__wirelength__estimated,18352.3
design__violations,0
design__instance__count__class:timing_repair_buffer,100
design__instance__area__class:timing_repair_buffer,1542.24
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,2
design__instance__count__class:clock_buffer,14
design__instance__area__class:clock_buffer,635.04
design__instance__count__class:clock_inverter,5
design__instance__area__class:clock_inverter,27.216
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,90
global_route__vias,2211
global_route__wirelength,25552
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,397
route__net__special,24
route__drc_errors__iter:0,63
route__wirelength__iter:0,19126
route__drc_errors__iter:1,2
route__wirelength__iter:1,19085
route__drc_errors__iter:2,0
route__wirelength__iter:2,19089
route__drc_errors,0
route__wirelength,19089
route__vias,1782
route__vias__singlecut,1782
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,734.685
design__instance__count__class:fill_cell,39814
design__instance__area__class:fill_cell,498728
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,0
power__internal__total,0.000013179831512388773
power__switching__total,0.00000401360421165009
power__leakage__total,0.00003108806777163409
power__total,0.000048281501221936196
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,-0.2980666908769308
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,0.28092290400156583
timing__hold__ws__corner:nom_fast_1p32V_m40C,0.11313827972491781
timing__setup__ws__corner:nom_fast_1p32V_m40C,14.973008146039628
timing__hold__tns__corner:nom_fast_1p32V_m40C,0.0
timing__setup__tns__corner:nom_fast_1p32V_m40C,0.0
timing__hold__wns__corner:nom_fast_1p32V_m40C,0
timing__setup__wns__corner:nom_fast_1p32V_m40C,0.0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,0.113138
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,17.786531
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,79
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,0
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,0
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,0
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,-0.3502802036459947
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,0.30176281771947083
timing__hold__ws__corner:nom_slow_1p08V_125C,0.636906045930594
timing__setup__ws__corner:nom_slow_1p08V_125C,13.8018560487006
timing__hold__tns__corner:nom_slow_1p08V_125C,0.0
timing__setup__tns__corner:nom_slow_1p08V_125C,0.0
timing__hold__wns__corner:nom_slow_1p08V_125C,0
timing__setup__wns__corner:nom_slow_1p08V_125C,0.0
timing__hold_vio__count__corner:nom_slow_1p08V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,0.636906
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,15.216868
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,79
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,0
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,0
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,0
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,-0.3171396290900201
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,0.2914172874386366
timing__hold__ws__corner:nom_typ_1p20V_25C,0.3042636229087422
timing__setup__ws__corner:nom_typ_1p20V_25C,14.537478299302592
timing__hold__tns__corner:nom_typ_1p20V_25C,0.0
timing__setup__tns__corner:nom_typ_1p20V_25C,0.0
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,0.304264
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,16.840097
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,79
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,0
